Line 0: [CENTER (1)] normal (Bold:None) | Principles
Line 429: [CENTER (1)] normal (Bold:None) | Women
Line 431: [CENTER (1)] normal (Bold:None) | Role and Rights of People’s Organizations
Line 435: [CENTER (1)] normal (Bold:None) | Human Rights
Line 453: [CENTER (1)] normal (Bold:None) | ARTICLE XIV
Line 454: [CENTER (1)] normal (Bold:None) | Education, Science and Technology, Arts, Culture, and Sports
Line 455: [CENTER (1)] normal (Bold:None) | Education
Line 456: [None] normal (Bold:None) | SECTION 1. The State shall protect and promote the right of all citizens to quality education at all
Line 457: [None] normal (Bold:None) | SECTION 2. The State shall:
Line 458: [None] normal (Bold:None) | (1) Establish, maintain, and support a complete, adequate, and integrated system of education releva
Line 459: [None] normal (Bold:None) | (2) Establish and maintain a system of free public education in the elementary and high school level
Line 460: [None] normal (Bold:None) | (3) Establish and maintain a system of scholarship grants, student loan programs, subsidies, and oth
Line 461: [None] normal (Bold:None) | (4) Encourage non-formal, informal, and indigenous learning systems, as well as self-learning, indep
Line 462: [None] normal (Bold:None) | (5) Provide adult citizens, the disabled, and out-of-school youth with training in civics, vocationa
Line 463: [None] normal (Bold:None) | SECTION 3. (1) All educational institutions shall include the study of the Constitution as part of t
Line 464: [None] normal (Bold:None) | (2) They shall inculcate patriotism and nationalism, foster love of humanity, respect for human righ
Line 465: [None] normal (Bold:None) | (3) At the option expressed in writing by the parents or guardians, religion shall be allowed to be 
Line 466: [None] normal (Bold:None) | SECTION 4. (1) The State recognizes the complementary roles of public and private institutions in th
Line 467: [None] normal (Bold:None) | (2) Educational institutions, other than those established by religious groups and mission boards, s
Line 468: [None] normal (Bold:None) | The control and administration of educational institutions shall be vested in citizens of the Philip
Line 469: [None] normal (Bold:None) | No educational institution shall be established exclusively for aliens and no group of aliens shall 
Line 470: [None] normal (Bold:None) | (3) All revenues and assets of non-stock, non-profit educational institutions used actually, directl
Line 471: [None] normal (Bold:None) | Proprietary educational institutions, including those cooperatively owned, may likewise be entitled 
Line 472: [None] normal (Bold:None) | (4) Subject to conditions prescribed by law, all grants, endowments, donations, or contributions use
Line 473: [None] normal (Bold:None) | SECTION 5. (1) The State shall take into account regional and sectoral needs and conditions and shal
Line 474: [None] normal (Bold:None) | (2) Academic freedom shall be enjoyed in all institutions of higher learning.
Line 475: [None] normal (Bold:None) | (3) Every citizen has a right to select a profession or course of study, subject to fair, reasonable
Line 476: [None] normal (Bold:None) | (4) The State shall enhance the right of teachers to professional advancement. Non-teaching academic
Line 477: [None] normal (Bold:None) | (5) The State shall assign the highest budgetary priority to education and ensure that teaching will
Line 478: [CENTER (1)] normal (Bold:None) | Language
Line 479: [None] normal (Bold:None) | SECTION 6. The national language of the Philippines is Filipino. As it evolves, it shall be further 
Line 480: [None] normal (Bold:None) | Subject to provisions of law and as the Congress may deem appropriate, the Government shall take ste
Line 481: [None] normal (Bold:None) | SECTION 7. For purposes of communication and instruction, the official languages of the Philippines 
Line 482: [None] normal (Bold:None) | The regional languages are the auxiliary official languages in the regions and shall serve as auxili
Line 483: [None] normal (Bold:None) | Spanish and Arabic shall be promoted on a voluntary and optional basis.
Line 484: [None] normal (Bold:None) | SECTION 8. This Constitution shall be promulgated in Filipino and English and shall be translated in
Line 485: [None] normal (Bold:None) | SECTION 9. The Congress shall establish a national language commission composed of representatives o
Line 486: [CENTER (1)] normal (Bold:None) | Science and Technology
Line 487: [None] normal (Bold:None) | SECTION 10. Science and technology are essential for national development and progress. The State sh
Line 488: [None] normal (Bold:None) | SECTION 11. The Congress may provide for incentives, including tax deductions, to encourage private 
Line 489: [None] normal (Bold:None) | SECTION 12. The State shall regulate the transfer and promote the adaptation of technology from all 
Line 490: [None] normal (Bold:None) | SECTION 13. The State shall protect and secure the exclusive rights of scientists, inventors, artist
Line 491: [CENTER (1)] normal (Bold:None) | Arts and Culture
Line 492: [None] normal (Bold:None) | SECTION 14. The State shall foster the preservation, enrichment, and dynamic evolution of a Filipino
Line 493: [None] normal (Bold:None) | SECTION 15. Arts and letters shall enjoy the patronage of the State. The State shall conserve, promo
Line 494: [None] normal (Bold:None) | SECTION 16. All the country’s artistic and historic wealth constitutes the cultural treasure of the 
Line 495: [None] normal (Bold:None) | SECTION 17. The State shall recognize, respect, and protect the rights of indigenous cultural commun
Line 496: [None] normal (Bold:None) | SECTION 18. (1) The State shall ensure equal access to cultural opportunities through the educationa
Line 497: [None] normal (Bold:None) | (2) The State shall encourage and support researches and studies on the arts and culture.
Line 498: [CENTER (1)] normal (Bold:None) | Sports
Line 499: [None] normal (Bold:None) | SECTION 19. (1) The State shall promote physical education and encourage sports programs, league com
Line 500: [None] normal (Bold:None) | (2) All educational institutions shall undertake regular sports activities throughout the country in
Line 501: [CENTER (1)] normal (Bold:None) | ARTICLE XV
Line 502: [CENTER (1)] normal (Bold:None) | The Family
Line 511: [CENTER (1)] normal (Bold:None) | ARTICLE XVI
Line 512: [CENTER (1)] normal (Bold:None) | General Provisions
Line 536: [CENTER (1)] normal (Bold:None) | ARTICLE XVII
Line 537: [CENTER (1)] normal (Bold:None) | Amendments or Revisions
Line 546: [CENTER (1)] normal (Bold:None) | ARTICLE XVIII
Line 547: [CENTER (1)] normal (Bold:None) | Transitory Provisions
